Date,Close,Volume,Ticker
2020-09-02,9.649999618530273,700,FFIE
2020-09-03,9.6899995803833,26800,FFIE
2020-09-04,9.739999771118164,100,FFIE
2020-09-08,9.739999771118164,0,FFIE
2020-09-09,9.739999771118164,8400,FFIE
2020-09-10,9.75,1463100,FFIE
2020-09-11,9.729999542236328,10600,FFIE
2020-09-14,9.75,340600,FFIE
2020-09-15,9.710000038146973,86400,FFIE
2020-09-16,9.720000267028809,76500,FFIE
2020-09-17,9.739999771118164,1091000,FFIE
2020-09-18,9.770000457763672,228700,FFIE
2020-09-21,9.770000457763672,547700,FFIE
2020-09-22,9.75,99000,FFIE
2020-09-23,9.760000228881836,514600,FFIE
2020-09-24,9.75,315200,FFIE
2020-09-25,9.75,165300,FFIE
2020-09-28,9.760000228881836,1300,FFIE
2020-09-29,9.770000457763672,829800,FFIE
2020-09-30,9.8100004196167,609500,FFIE
2020-10-01,9.770000457763672,209600,FFIE
2020-10-02,9.75,356600,FFIE
2020-10-05,9.800000190734863,100,FFIE
2020-10-06,9.760000228881836,16500,FFIE
2020-10-07,9.770000457763672,1200,FFIE
2020-10-08,9.770000457763672,20600,FFIE
2020-10-09,9.739999771118164,23800,FFIE
2020-10-12,9.760000228881836,3500,FFIE
2020-10-13,9.729999542236328,153300,FFIE
2020-10-14,9.729999542236328,311500,FFIE
2020-10-15,9.720000267028809,105600,FFIE
2020-10-16,9.729999542236328,14400,FFIE
2020-10-19,9.729999542236328,80200,FFIE
2020-10-20,9.729999542236328,5600,FFIE
2020-10-21,9.729999542236328,100,FFIE
2020-10-22,9.720000267028809,207100,FFIE
2020-10-23,9.699999809265137,2400,FFIE
2020-10-26,9.75,115100,FFIE
2020-10-27,9.6850004196167,9600,FFIE
2020-10-28,9.710000038146973,161600,FFIE
2020-10-29,9.670000076293945,125100,FFIE
2020-10-30,9.65999984741211,100500,FFIE
2020-11-02,9.649999618530273,20100,FFIE
2020-11-03,9.65999984741211,23400,FFIE
2020-11-04,9.699999809265137,8200,FFIE
2020-11-05,9.710000038146973,3200,FFIE
2020-11-06,9.687999725341797,400,FFIE
2020-11-09,9.710000038146973,10200,FFIE
2020-11-10,9.699999809265137,7500,FFIE
2020-11-11,9.699999809265137,10300,FFIE
2020-11-12,9.720000267028809,10300,FFIE
2020-11-13,9.720000267028809,7500,FFIE
2020-11-16,9.729999542236328,106800,FFIE
2020-11-17,9.75,565700,FFIE
2020-11-18,9.779999732971191,128500,FFIE
2020-11-19,9.770000457763672,2800,FFIE
