ticker,date,company,industry,sector,exchange
MAR,7/12/22,Marriott International,Travel & Leisure,Consumer Cyclical,Nasdaq Global Select
MARA,7/12/22,Marathon Patent Group Inc.,Business Services,Industrials,NASDAQ Capital Market
MARK,7/12/22,Remark Holdings Inc.,Online Media,Technology,NASDAQ Capital Market
MARPS,7/12/22,Marine Petroleum Trust Units of Beneficial Interest,Oil & Gas - Services,Energy,NASDAQ Capital Market
MAS,7/12/22,Masco Corporation,Building Materials,Basic Materials,New York Stock Exchange
MASI,7/12/22,Masimo Corporation,Medical Instruments & Equipment,Healthcare,Nasdaq Global Select
MAT,7/12/22,Mattel Inc.,Travel & Leisure,Consumer Cyclical,Nasdaq Global Select
MATW,7/12/22,Matthews International Corporation,Conglomerates,Industrials,Nasdaq Global Select
MATX,7/12/22,Matson Inc.,Transportation & Logistics,Industrials,New York Stock Exchange
MAV,7/12/22,Pioneer Municipal High Income Advantage Trust of Beneficial Interest,Asset Management,Financial Services,New York Stock Exchange
MAXR,7/12/22,Maxar Technologies Inc.,Communication Equipment,Technology,New York Stock Exchange
MAYS,7/12/22,J. W. Mays Inc.,Real Estate Services,Real Estate,NASDAQ Capital Market
MB,7/12/22,MINDBODY Inc.,Application Software,Technology,NASDAQ Global Market
MBCN,7/12/22,Middlefield Banc Corp.,Banks,Financial Services,NASDAQ Capital Market
MBFI,7/12/22,MB Financial Inc.,Banks,Financial Services,Nasdaq Global Select
MBI,7/12/22,MBIA Inc.,Insurance - Property & Casualty,Financial Services,New York Stock Exchange
MBII,7/12/22,Marrone Bio Innovations Inc.,Agriculture,Basic Materials,NASDAQ Capital Market
MBIN,7/12/22,Merchants Bancorp,Banks,Financial Services,NASDAQ Capital Market
MBIO,7/12/22,Mustang Bio Inc.,Biotechnology,Healthcare,NASDAQ Global Market
MBOT,7/12/22,Microbot Medical Inc.,Medical Instruments & Equipment,Healthcare,NASDAQ Capital Market
MBRX,7/12/22,Moleculin Biotech Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
MBT,7/12/22,Mobile TeleSystems PJSC,Communication Services,Communication Services,New York Stock Exchange
MBTF,7/12/22,M B T Financial Corp,Banks,Financial Services,Nasdaq Global Select
MBUU,7/12/22,Malibu Boats Inc.,Autos,Consumer Cyclical,NASDAQ Global Market
MBWM,7/12/22,Mercantile Bank Corporation,Banks,Financial Services,Nasdaq Global Select
MC,7/12/22,Moelis & Company Class A,Asset Management,Financial Services,New York Stock Exchange
MCA,7/12/22,Blackrock MuniYield California Quality Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
MCB,7/12/22,Metropolitan Bank Holding Corp.,Banks,Financial Services,New York Stock Exchange
MCBC,7/12/22,Macatawa Bank Corporation,Banks,Financial Services,Nasdaq Global Select
MCC,7/12/22,Medley Capital Corporation,Asset Management,Financial Services,New York Stock Exchange
MCD,7/12/22,McDonald's Corporation,Restaurants,Consumer Cyclical,New York Stock Exchange
MCEP,7/12/22,Mid-Con Energy Partners LP,Oil & Gas - E&P,Energy,Nasdaq Global Select
MCF,7/12/22,Contango Oil & Gas Company,Oil & Gas - E&P,Energy,NYSE American
MCFT,7/12/22,MasterCraft Boat Holdings Inc.,Autos,Consumer Cyclical,NASDAQ Global Market
MCHP,7/12/22,Microchip Technology Incorporated,Semiconductors,Technology,Nasdaq Global Select
MCHX,7/12/22,Marchex Inc.,Advertising & Marketing Services,Consumer Cyclical,Nasdaq Global Select
MCI,7/12/22,Barings Corporate Investors,Asset Management,Financial Services,New York Stock Exchange
MCK,7/12/22,McKesson Corporation,Medical Distribution,Healthcare,New York Stock Exchange
MCN,7/12/22,Madison Covered Call & Equity Strategy Fund,Asset Management,Financial Services,New York Stock Exchange
MCO,7/12/22,Moody's Corporation,Brokers & Exchanges,Financial Services,New York Stock Exchange
MCR,7/12/22,MFS Charter Income Trust,Asset Management,Financial Services,New York Stock Exchange
MCRB,7/12/22,Seres Therapeutics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
MCRI,7/12/22,Monarch Casino & Resort Inc.,Travel & Leisure,Consumer Cyclical,Nasdaq Global Select
MCRN,7/12/22,Milacron Holdings Corp.,Industrial Products,Industrials,New York Stock Exchange
MCS,7/12/22,Marcus Corporation (The),Entertainment,Consumer Cyclical,New York Stock Exchange
MCY,7/12/22,Mercury General Corporation,Insurance - Property & Casualty,Financial Services,New York Stock Exchange
MD,7/12/22,Mednax Inc.,Health Care Providers,Healthcare,New York Stock Exchange
MDB,7/12/22,MongoDB Inc.,Application Software,Technology,NASDAQ Global Market
MDC,7/12/22,M.D.C. Holdings Inc.,Homebuilding & Construction,Consumer Cyclical,New York Stock Exchange
MDCA,7/12/22,MDC Partners Inc.,Advertising & Marketing Services,Consumer Cyclical,Nasdaq Global Select
MDCO,7/12/22,The Medicines Company,Drug Manufacturers,Healthcare,Nasdaq Global Select
MDGL,7/12/22,Madrigal Pharmaceuticals Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
MDGS,7/12/22,Medigus Ltd.,Medical Devices,Healthcare,NASDAQ Capital Market
MDLY,7/12/22,Medley Management Inc. Class A,Asset Management,Financial Services,New York Stock Exchange
MDLZ,7/12/22,Mondelez International Inc.,Consumer Packaged Goods,Consumer Defensive,Nasdaq Global Select
MDP,7/12/22,Meredith Corporation,Publishing,Consumer Cyclical,New York Stock Exchange
MDR,7/12/22,McDermott International Inc.,Oil & Gas - Services,Energy,New York Stock Exchange
MDRR,7/12/22,Medalist Diversified REIT Inc.,REITs,Real Estate,NASDAQ Capital Market
MDRX,7/12/22,Allscripts Healthcare Solutions Inc.,Application Software,Technology,Nasdaq Global Select
MDSO,7/12/22,Medidata Solutions Inc.,Application Software,Technology,Nasdaq Global Select
MDT,7/12/22,Medtronic plc.,Medical Devices,Healthcare,New York Stock Exchange
MDU,7/12/22,MDU Resources Group Inc. (Holding Company),Building Materials,Basic Materials,New York Stock Exchange
MDWD,7/12/22,MediWound Ltd.,Biotechnology,Healthcare,NASDAQ Global Market
MED,7/12/22,MEDIFAST INC,Retail - Apparel & Specialty,Consumer Cyclical,New York Stock Exchange
MEDP,7/12/22,Medpace Holdings Inc.,Medical Diagnostics & Research,Healthcare,Nasdaq Global Select
MEET,7/12/22,The Meet Group Inc.,Online Media,Technology,NASDAQ Capital Market
MEI,7/12/22,Methode Electronics Inc.,Computer Hardware,Technology,New York Stock Exchange
MEIP,7/12/22,MEI Pharma Inc.,Drug Manufacturers,Healthcare,NASDAQ Capital Market
MELI,7/12/22,MercadoLibre Inc.,Retail - Apparel & Specialty,Consumer Cyclical,Nasdaq Global Select
