ticker,date,company,industry,sector,exchange
A,7/12/22,Agilent Technologies Inc.,Medical Diagnostics & Research,Healthcare,New York Stock Exchange
AA,7/12/22,Alcoa Corporation,Metals & Mining,Basic Materials,New York Stock Exchange
AABA,7/12/22,Altaba Inc.,Asset Management,Financial Services,Nasdaq Global Select
AAC,7/12/22,AAC Holdings Inc.,Health Care Providers,Healthcare,New York Stock Exchange
AAL,7/12/22,American Airlines Group Inc.,Airlines,Industrials,Nasdaq Global Select
AAMC,7/12/22,Altisource Asset Management Corp Com,Asset Management,Financial Services,NYSE American
AAME,7/12/22,Atlantic American Corporation,Insurance - Life,Financial Services,NASDAQ Global Market
AAN,7/12/22,Aaron's Inc.,Consulting & Outsourcing,Industrials,New York Stock Exchange
AAOI,7/12/22,Applied Optoelectronics Inc.,Semiconductors,Technology,NASDAQ Global Market
AAON,7/12/22,AAON Inc.,Building Materials,Basic Materials,Nasdaq Global Select
AAP,7/12/22,Advance Auto Parts Inc W/I,Retail - Apparel & Specialty,Consumer Cyclical,New York Stock Exchange
AAPL,7/12/22,Apple Inc.,Computer Hardware,Technology,Nasdaq Global Select
AAT,7/12/22,American Assets Trust Inc.,REITs,Real Estate,New York Stock Exchange
AAU,7/12/22,Almaden Minerals Ltd.,Metals & Mining,Basic Materials,NYSE American
AAWW,7/12/22,Atlas Air Worldwide Holdings,Transportation & Logistics,Industrials,Nasdaq Global Select
AAXN,7/12/22,Axon Enterprise Inc.,Aerospace & Defense,Industrials,Nasdaq Global Select
AB,7/12/22,AllianceBernstein Holding L.P. Units,Asset Management,Financial Services,New York Stock Exchange
ABB,7/12/22,ABB Ltd,Industrial Products,Industrials,New York Stock Exchange
ABBV,7/12/22,AbbVie Inc.,Drug Manufacturers,Healthcare,New York Stock Exchange
ABC,7/12/22,AmerisourceBergen Corporation,Medical Distribution,Healthcare,New York Stock Exchange
ABCB,7/12/22,Ameris Bancorp,Banks,Financial Services,Nasdaq Global Select
ABDC,7/12/22,Alcentra Capital Corp.,Asset Management,Financial Services,Nasdaq Global Select
ABEO,7/12/22,Abeona Therapeutics Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ABEV,7/12/22,Ambev S.A. American Depositary Shares (Each representing 1),Beverages - Alcoholic,Consumer Defensive,New York Stock Exchange
ABG,7/12/22,Asbury Automotive Group Inc,Autos,Consumer Cyclical,New York Stock Exchange
ABIL,7/12/22,Ability Inc.,Communication Equipment,Technology,NASDAQ Capital Market
ABIO,7/12/22,ARCA biopharma Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ABM,7/12/22,ABM Industries Incorporated,Business Services,Industrials,New York Stock Exchange
ABMD,7/12/22,ABIOMED Inc.,Medical Devices,Healthcare,Nasdaq Global Select
ABR,7/12/22,Arbor Realty Trust,REITs,Real Estate,New York Stock Exchange
ABT,7/12/22,Abbott Laboratories,Medical Devices,Healthcare,New York Stock Exchange
ABTX,7/12/22,Allegiance Bancshares Inc.,Banks,Financial Services,NASDAQ Global Market
ABUS,7/12/22,Arbutus Biopharma Corporation,Biotechnology,Healthcare,Nasdaq Global Select
AC,7/12/22,Associated Capital Group Inc.,Brokers & Exchanges,Financial Services,New York Stock Exchange
ACA,7/12/22,Arcosa Inc.,Engineering & Construction,Industrials,New York Stock Exchange
ACAD,7/12/22,ACADIA Pharmaceuticals Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ACB,7/12/22,Aurora Cannabis Inc.,Drug Manufacturers,Healthcare,New York Stock Exchange
ACBI,7/12/22,Atlantic Capital Bancshares Inc.,Banks,Financial Services,Nasdaq Global Select
ACC,7/12/22,American Campus Communities Inc,REITs,Real Estate,New York Stock Exchange
ACCO,7/12/22,Acco Brands Corporation,Industrial Products,Industrials,New York Stock Exchange
ACER,7/12/22,Acer Therapeutics Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ACET,7/12/22,Aceto Corporation,Drug Manufacturers,Healthcare,Nasdaq Global Select
ACGL,7/12/22,Arch Capital Group Ltd.,Insurance,Financial Services,Nasdaq Global Select
ACH,7/12/22,Aluminum Corporation of China Limited American Depositary Shares,Metals & Mining,Basic Materials,New York Stock Exchange
ACHC,7/12/22,Acadia Healthcare Company Inc.,Health Care Providers,Healthcare,Nasdaq Global Select
ACHN,7/12/22,Achillion Pharmaceuticals Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ACHV,7/12/22,Achieve Life Sciences Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ACIA,7/12/22,Acacia Communications Inc.,Communication Equipment,Technology,Nasdaq Global Select
ACIU,7/12/22,AC Immune SA,Biotechnology,Healthcare,NASDAQ Global Market
ACIW,7/12/22,ACI Worldwide Inc.,Application Software,Technology,Nasdaq Global Select
ACLS,7/12/22,Axcelis Technologies Inc.,Semiconductors,Technology,Nasdaq Global Select
ACM,7/12/22,AECOM,Engineering & Construction,Industrials,New York Stock Exchange
ACMR,7/12/22,ACM Research Inc.,Semiconductors,Technology,NASDAQ Global Market
ACN,7/12/22,Accenture plc Class A (Ireland),Application Software,Technology,New York Stock Exchange
ACNB,7/12/22,ACNB Corporation,Banks,Financial Services,NASDAQ Capital Market
ACOR,7/12/22,Acorda Therapeutics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ACP,7/12/22,Aberdeen Income Credit Strategies Fund,Asset Management,Financial Services,New York Stock Exchange
ACRE,7/12/22,Ares Commercial Real Estate Corporation,REITs,Real Estate,New York Stock Exchange
ACRS,7/12/22,Aclaris Therapeutics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ACRX,7/12/22,AcelRx Pharmaceuticals Inc.,Medical Devices,Healthcare,NASDAQ Global Market
ACST,7/12/22,Acasti Pharma Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ACTG,7/12/22,Acacia Research Corporation,Business Services,Industrials,Nasdaq Global Select
ACU,7/12/22,Acme United Corporation.,Consumer Packaged Goods,Consumer Defensive,NYSE American
ACV,7/12/22,AllianzGI Diversified Income & Convertible Fund of Beneficial Interest,Asset Management,Financial Services,New York Stock Exchange
ACY,7/12/22,AeroCentury Corp.,Consulting & Outsourcing,Industrials,NYSE American
ADAP,7/12/22,Adaptimmune Therapeutics plc,Biotechnology,Healthcare,Nasdaq Global Select
ADBE,7/12/22,Adobe Inc.,Application Software,Technology,Nasdaq Global Select
ADC,7/12/22,Agree Realty Corporation,REITs,Real Estate,New York Stock Exchange
ADES,7/12/22,Advanced Emissions Solutions Inc.,Industrial Products,Industrials,NASDAQ Global Market
ADI,7/12/22,Analog Devices Inc.,Semiconductors,Technology,Nasdaq Global Select
ADIL,7/12/22,Adial Pharmaceuticals Inc,Biotechnology,Healthcare,NASDAQ Capital Market
ADM,7/12/22,Archer-Daniels-Midland Company,Consumer Packaged Goods,Consumer Defensive,New York Stock Exchange
ADMA,7/12/22,ADMA Biologics Inc,Biotechnology,Healthcare,NASDAQ Capital Market
ADMP,7/12/22,Adamis Pharmaceuticals Corporation,Drug Manufacturers,Healthcare,NASDAQ Capital Market
ADMS,7/12/22,Adamas Pharmaceuticals Inc.,Drug Manufacturers,Healthcare,NASDAQ Global Market
ADNT,7/12/22,Adient plc,Autos,Consumer Cyclical,New York Stock Exchange
ADOM,7/12/22,ADOMANI Inc.,Autos,Consumer Cyclical,NASDAQ Capital Market
ADP,7/12/22,Automatic Data Processing Inc.,Business Services,Industrials,Nasdaq Global Select
ADRO,7/12/22,Aduro Biotech Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ADS,7/12/22,Alliance Data Systems Corporation,Credit Services,Financial Services,New York Stock Exchange
ADSK,7/12/22,Autodesk Inc.,Application Software,Technology,Nasdaq Global Select
ADSW,7/12/22,Advanced Disposal Services Inc.,Waste Management,Industrials,New York Stock Exchange
ADT,7/12/22,ADT Inc.,Consulting & Outsourcing,Industrials,New York Stock Exchange
ADTN,7/12/22,ADTRAN Inc.,Communication Equipment,Technology,Nasdaq Global Select
ADUS,7/12/22,Addus HomeCare Corporation,Health Care Providers,Healthcare,Nasdaq Global Select
ADVM,7/12/22,Adverum Biotechnologies Inc.,Biotechnology,Healthcare,NASDAQ Global Market
ADX,7/12/22,Adams Diversified Equity Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
ADXS,7/12/22,Advaxis Inc.,Biotechnology,Healthcare,Nasdaq Global Select
AE,7/12/22,Adams Resources & Energy Inc.,Oil & Gas - Integrated,Energy,NYSE American
AEE,7/12/22,Ameren Corporation,Utilities - Regulated,Utilities,New York Stock Exchange
AEF,7/12/22,Aberdeen Emerging Markets Equity Income Fund Inc.,Asset Management,Financial Services,NYSE American
AEG,7/12/22,AEGON N.V.,Insurance,Financial Services,New York Stock Exchange
AEGN,7/12/22,Aegion Corp,Engineering & Construction,Industrials,Nasdaq Global Select
AEHR,7/12/22,Aehr Test Systems,Semiconductors,Technology,NASDAQ Capital Market
AEIS,7/12/22,Advanced Energy Industries Inc.,Computer Hardware,Technology,Nasdaq Global Select
AEL,7/12/22,American Equity Investment Life Holding Company,Insurance - Life,Financial Services,New York Stock Exchange
AEM,7/12/22,Agnico Eagle Mines Limited,Metals & Mining,Basic Materials,New York Stock Exchange
AEMD,7/12/22,Aethlon Medical Inc.,Computer Hardware,Technology,NASDAQ Capital Market
AEO,7/12/22,American Eagle Outfitters Inc.,Retail - Apparel & Specialty,Consumer Cyclical,New York Stock Exchange
AEP,7/12/22,American Electric Power Company Inc.,Utilities - Regulated,Utilities,New York Stock Exchange
AER,7/12/22,AerCap Holdings N.V.,Transportation & Logistics,Industrials,New York Stock Exchange
AERI,7/12/22,Aerie Pharmaceuticals Inc.,Drug Manufacturers,Healthcare,NASDAQ Global Market
AES,7/12/22,The AES Corporation,Utilities - Regulated,Utilities,New York Stock Exchange
AETI,7/12/22,American Electric Technologies Inc.,Industrial Products,Industrials,NASDAQ Capital Market
AEY,7/12/22,ADDvantage Technologies Group Inc.,Computer Hardware,Technology,NASDAQ Global Market
AEYE,7/12/22,AudioEye Inc.,Application Software,Technology,NASDAQ Capital Market
AEZS,7/12/22,Aeterna Zentaris Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
AFB,7/12/22,AllianceBernstein National Municipal Income Fund Inc,Asset Management,Financial Services,New York Stock Exchange
AFG,7/12/22,American Financial Group Inc.,Insurance - Property & Casualty,Financial Services,New York Stock Exchange
AFH,7/12/22,Atlas Financial Holdings Inc.,Insurance - Property & Casualty,Financial Services,NASDAQ Global Market
AFI,7/12/22,Armstrong Flooring Inc.,Building Materials,Basic Materials,New York Stock Exchange
AFIN,7/12/22,American Finance Trust Inc.,REITs,Real Estate,Nasdaq Global Select
AFL,7/12/22,AFLAC Incorporated,Insurance - Life,Financial Services,New York Stock Exchange
AFMD,7/12/22,Affimed N.V.,Biotechnology,Healthcare,NASDAQ Global Market
AFT,7/12/22,Apollo Senior Floating Rate Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
AG,7/12/22,First Majestic Silver Corp. (Canada),Metals & Mining,Basic Materials,New York Stock Exchange
AGCO,7/12/22,AGCO Corporation,Farm & Construction Machinery,Industrials,New York Stock Exchange
AGD,7/12/22,Aberdeen Global Dynamic Dividend Fund,Asset Management,Financial Services,New York Stock Exchange
AGE,7/12/22,AgeX Therapeutics Inc.,Biotechnology,Healthcare,NYSE American
AGEN,7/12/22,Agenus Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
AGFS,7/12/22,AgroFresh Solutions Inc.,Agriculture,Basic Materials,Nasdaq Global Select
AGI,7/12/22,Alamos Gold Inc. Class A,Metals & Mining,Basic Materials,New York Stock Exchange
AGIO,7/12/22,Agios Pharmaceuticals Inc.,Biotechnology,Healthcare,Nasdaq Global Select
AGLE,7/12/22,Aeglea BioTherapeutics Inc.,Biotechnology,Healthcare,NASDAQ Global Market
AGM,7/12/22,Federal Agricultural Mortgage Corporation,Credit Services,Financial Services,New York Stock Exchange
AGM.A,7/12/22,Federal Agricultural Mortgage Corporation,Credit Services,Financial Services,New York Stock Exchange
AGMH,7/12/22,AGM Group Holdings Inc.,Application Software,Technology,NASDAQ Capital Market
AGN,7/12/22,Allergan plc,Drug Manufacturers,Healthcare,New York Stock Exchange
AGNC,7/12/22,AGNC Investment Corp.,REITs,Real Estate,Nasdaq Global Select
AGO,7/12/22,Assured Guaranty Ltd.,Insurance - Specialty,Financial Services,New York Stock Exchange
AGR,7/12/22,Avangrid Inc.,Utilities - Regulated,Utilities,New York Stock Exchange
AGRO,7/12/22,Adecoagro S.A.,Consumer Packaged Goods,Consumer Defensive,New York Stock Exchange
AGRX,7/12/22,Agile Therapeutics Inc.,Drug Manufacturers,Healthcare,NASDAQ Capital Market
AGS,7/12/22,PlayAGS Inc.,Travel & Leisure,Consumer Cyclical,New York Stock Exchange
AGTC,7/12/22,Applied Genetic Technologies Corporation,Biotechnology,Healthcare,NASDAQ Global Market
AGX,7/12/22,Argan Inc.,Engineering & Construction,Industrials,New York Stock Exchange
AGYS,7/12/22,Agilysys Inc.,Application Software,Technology,Nasdaq Global Select
AHC,7/12/22,A.H. Belo Corporation (TX),Publishing,Consumer Cyclical,New York Stock Exchange
AHH,7/12/22,Armada Hoffler Properties Inc.,REITs,Real Estate,New York Stock Exchange
AHL,7/12/22,Aspen Insurance Holdings Limited,Insurance - Specialty,Financial Services,New York Stock Exchange
AHPI,7/12/22,Allied Healthcare Products Inc.,Medical Devices,Healthcare,NASDAQ Capital Market
AHT,7/12/22,Ashford Hospitality Trust Inc,REITs,Real Estate,New York Stock Exchange
AI,7/12/22,Arlington Asset Investment Corp Class A (new),Banks,Financial Services,New York Stock Exchange
AIF,7/12/22,Apollo Tactical Income Fund Inc.,Asset Management,Financial Services,New York Stock Exchange
AIG,7/12/22,American International Group Inc.,Insurance,Financial Services,New York Stock Exchange
AIHS,7/12/22,Senmiao Technology Limited,Credit Services,Financial Services,NASDAQ Capital Market
AIMC,7/12/22,Altra Industrial Motion Corp.,Industrial Products,Industrials,Nasdaq Global Select
AIMT,7/12/22,Aimmune Therapeutics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
AIN,7/12/22,Albany International Corporation,Homebuilding & Construction,Consumer Cyclical,New York Stock Exchange
AINC,7/12/22,Ashford Inc. (Holding Company),Asset Management,Financial Services,NYSE American
AINV,7/12/22,Apollo Investment Corporation,Asset Management,Financial Services,Nasdaq Global Select
AIPT,7/12/22,Precision Therapeutics Inc.,Medical Instruments & Equipment,Healthcare,NASDAQ Capital Market
AIR,7/12/22,AAR Corp.,Aerospace & Defense,Industrials,New York Stock Exchange
AIRG,7/12/22,Airgain Inc.,Communication Equipment,Technology,NASDAQ Capital Market
AIRI,7/12/22,Air Industries Group,Aerospace & Defense,Industrials,NYSE American
AIRT,7/12/22,Air T Inc.,Transportation & Logistics,Industrials,NASDAQ Capital Market
AIT,7/12/22,Applied Industrial Technologies Inc.,Industrial Distribution,Industrials,New York Stock Exchange
AIV,7/12/22,Apartment Investment and Management Company,REITs,Real Estate,New York Stock Exchange
AIZ,7/12/22,Assurant Inc.,Insurance,Financial Services,New York Stock Exchange
AJG,7/12/22,Arthur J. Gallagher & Co.,Brokers & Exchanges,Financial Services,New York Stock Exchange
AJRD,7/12/22,Aerojet Rocketdyne Holdings Inc.,Aerospace & Defense,Industrials,New York Stock Exchange
AJX,7/12/22,Great Ajax Corp.,REITs,Real Estate,New York Stock Exchange
AKAM,7/12/22,Akamai Technologies Inc.,Application Software,Technology,Nasdaq Global Select
AKAO,7/12/22,Achaogen Inc.,Biotechnology,Healthcare,NASDAQ Global Market
AKBA,7/12/22,Akebia Therapeutics Inc.,Biotechnology,Healthcare,NASDAQ Global Market
AKCA,7/12/22,Akcea Therapeutics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
AKER,7/12/22,Akers Biosciences Inc.,Medical Instruments & Equipment,Healthcare,NASDAQ Capital Market
AKG,7/12/22,Asanko Gold Inc.,Metals & Mining,Basic Materials,NYSE American
AKO.A,7/12/22,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,Consumer Defensive,New York Stock Exchange
AKO.B,7/12/22,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,Consumer Defensive,New York Stock Exchange
AKP,7/12/22,Alliance California Municipal Income Fund Inc,Asset Management,Financial Services,New York Stock Exchange
AKR,7/12/22,Acadia Realty Trust,REITs,Real Estate,New York Stock Exchange
AKRX,7/12/22,Akorn Inc.,Drug Manufacturers,Healthcare,Nasdaq Global Select
AKS,7/12/22,AK Steel Holding Corporation,Steel,Basic Materials,New York Stock Exchange
AKTS,7/12/22,Akoustis Technologies Inc.,Communication Equipment,Technology,NASDAQ Capital Market
AKTX,7/12/22,Akari Therapeutics Plc,Biotechnology,Healthcare,NASDAQ Capital Market
AL,7/12/22,Air Lease Corporation Class A,Consulting & Outsourcing,Industrials,New York Stock Exchange
ALAC,7/12/22,Alberton Acquisition Corporation,Conglomerates,Industrials,NASDAQ Capital Market
ALB,7/12/22,Albemarle Corporation,Chemicals,Basic Materials,New York Stock Exchange
ALBO,7/12/22,Albireo Pharma Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ALCO,7/12/22,Alico Inc.,Consumer Packaged Goods,Consumer Defensive,Nasdaq Global Select
ALDR,7/12/22,Alder BioPharmaceuticals Inc.,Biotechnology,Healthcare,NASDAQ Global Market
ALDX,7/12/22,Aldeyra Therapeutics Inc.,Biotechnology,Healthcare,NASDAQ Capital Market
ALE,7/12/22,Allete Inc.,Utilities - Regulated,Utilities,New York Stock Exchange
ALEX,7/12/22,Alexander & Baldwin Inc. REIT Holding Company,REITs,Real Estate,New York Stock Exchange
ALG,7/12/22,Alamo Group Inc.,Farm & Construction Machinery,Industrials,New York Stock Exchange
ALGN,7/12/22,Align Technology Inc.,Medical Devices,Healthcare,Nasdaq Global Select
ALGR,7/12/22,Allegro Merger Corp.,Conglomerates,Industrials,NASDAQ Capital Market
ALGT,7/12/22,Allegiant Travel Company,Airlines,Industrials,Nasdaq Global Select
ALIM,7/12/22,Alimera Sciences Inc.,Drug Manufacturers,Healthcare,NASDAQ Global Market
ALJJ,7/12/22,ALJ Regional Holdings Inc.,Business Services,Industrials,NASDAQ Global Market
ALK,7/12/22,Alaska Air Group Inc.,Airlines,Industrials,New York Stock Exchange
ALKS,7/12/22,Alkermes plc,Biotechnology,Healthcare,Nasdaq Global Select
ALL,7/12/22,Allstate Corporation (The),Insurance - Property & Casualty,Financial Services,New York Stock Exchange
ALLE,7/12/22,Allegion plc,Consulting & Outsourcing,Industrials,New York Stock Exchange
ALLK,7/12/22,Allakos Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ALLO,7/12/22,Allogene Therapeutics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ALLT,7/12/22,Allot Ltd.,Communication Equipment,Technology,Nasdaq Global Select
ALLY,7/12/22,Ally Financial Inc.,Banks,Financial Services,New York Stock Exchange
ALNA,7/12/22,Allena Pharmaceuticals Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ALNY,7/12/22,Alnylam Pharmaceuticals Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ALO,7/12/22,Alio Gold Inc. (Canada),Metals & Mining,Basic Materials,NYSE American
ALOT,7/12/22,AstroNova Inc.,Computer Hardware,Technology,NASDAQ Global Market
ALPN,7/12/22,Alpine Immune Sciences Inc.,Biotechnology,Healthcare,NASDAQ Global Market
ALQA,7/12/22,Alliqua BioMedical Inc.,Drug Manufacturers,Healthcare,NASDAQ Capital Market
ALRM,7/12/22,Alarm.com Holdings Inc.,Application Software,Technology,Nasdaq Global Select
ALRN,7/12/22,Aileron Therapeutics Inc.,Biotechnology,Healthcare,NASDAQ Global Market
ALSK,7/12/22,Alaska Communications Systems Group Inc.,Communication Services,Communication Services,Nasdaq Global Select
ALSN,7/12/22,Allison Transmission Holdings Inc.,Autos,Consumer Cyclical,New York Stock Exchange
ALT,7/12/22,Altimmune Inc.,Biotechnology,Healthcare,NASDAQ Global Market
ALTM,7/12/22,Altus Midstream Company,Oil & Gas - Midstream,Energy,NASDAQ Capital Market
ALTR,7/12/22,Altair Engineering Inc.,Application Software,Technology,Nasdaq Global Select
ALV,7/12/22,Autoliv Inc.,Autos,Consumer Cyclical,New York Stock Exchange
ALX,7/12/22,Alexander's Inc.,REITs,Real Estate,New York Stock Exchange
ALXN,7/12/22,Alexion Pharmaceuticals Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ALYA,7/12/22,Alithya Group inc.,Application Software,Technology,NASDAQ Capital Market
AM,7/12/22,Antero Midstream Partners LP representing limited partner interests,Oil & Gas - Midstream,Energy,New York Stock Exchange
AMAG,7/12/22,AMAG Pharmaceuticals Inc.,Biotechnology,Healthcare,Nasdaq Global Select
AMAL,7/12/22,Amalgamated Bank,Banks,Financial Services,NASDAQ Global Market
AMAT,7/12/22,Applied Materials Inc.,Semiconductors,Technology,Nasdaq Global Select
AMBA,7/12/22,Ambarella Inc.,Semiconductors,Technology,Nasdaq Global Select
AMBC,7/12/22,Ambac Financial Group Inc.,Insurance - Specialty,Financial Services,Nasdaq Global Select
AMBO,7/12/22,Ambow Education Holding Ltd. American Depository Shares each representing two Class A,Education,Consumer Defensive,NYSE American
AMBR,7/12/22,Amber Road Inc.,Application Software,Technology,New York Stock Exchange
AMC,7/12/22,AMC Entertainment Holdings Inc. Class A,Entertainment,Consumer Cyclical,New York Stock Exchange
AMCI,7/12/22,AMCI Acquisition Corp.,Conglomerates,Industrials,NASDAQ Capital Market
AMCN,7/12/22,AirMedia Group Inc,Advertising & Marketing Services,Consumer Cyclical,NASDAQ Capital Market
AMCX,7/12/22,AMC Networks Inc.,Entertainment,Consumer Cyclical,Nasdaq Global Select
AMD,7/12/22,Advanced Micro Devices Inc.,Semiconductors,Technology,Nasdaq Global Select
AME,7/12/22,AMETEK Inc.,Industrial Products,Industrials,New York Stock Exchange
AMED,7/12/22,Amedisys Inc,Health Care Providers,Healthcare,Nasdaq Global Select
AMEH,7/12/22,Apollo Medical Holdings Inc.,Health Care Providers,Healthcare,NASDAQ Capital Market
AMG,7/12/22,Affiliated Managers Group Inc.,Asset Management,Financial Services,New York Stock Exchange
AMGN,7/12/22,Amgen Inc.,Biotechnology,Healthcare,Nasdaq Global Select
AMGP,7/12/22,Antero Midstream GP LP of Beneficial Interests,Oil & Gas - Midstream,Energy,New York Stock Exchange
AMH,7/12/22,American Homes 4 Rent of Beneficial Interest,REITs,Real Estate,New York Stock Exchange
AMID,7/12/22,American Midstream Partners LP representing Limited Partner Interests,Oil & Gas - Midstream,Energy,New York Stock Exchange
AMKR,7/12/22,Amkor Technology Inc.,Semiconductors,Technology,Nasdaq Global Select
AMN,7/12/22,AMN Healthcare Services Inc,Health Care Providers,Healthcare,New York Stock Exchange
AMNB,7/12/22,American National Bankshares Inc.,Banks,Financial Services,Nasdaq Global Select
AMOT,7/12/22,Allied Motion Technologies Inc.,Computer Hardware,Technology,NASDAQ Global Market
AMOV,7/12/22,America Movil S.A.B. de C.V. Class An Depositary Shares,Communication Services,Communication Services,New York Stock Exchange
AMP,7/12/22,Ameriprise Financial Inc.,Asset Management,Financial Services,New York Stock Exchange
AMPE,7/12/22,Ampio Pharmaceuticals Inc.,Biotechnology,Healthcare,NYSE American
AMPH,7/12/22,Amphastar Pharmaceuticals Inc.,Drug Manufacturers,Healthcare,Nasdaq Global Select
AMR,7/12/22,Alta Mesa Resources Inc.,Conglomerates,Industrials,NASDAQ Capital Market
AMRB,7/12/22,American River Bankshares,Banks,Financial Services,Nasdaq Global Select
AMRC,7/12/22,Ameresco Inc. Class A,Engineering & Construction,Industrials,New York Stock Exchange
AMRH,7/12/22,Ameri Holdings Inc.,Application Software,Technology,NASDAQ Capital Market
AMRK,7/12/22,A-Mark Precious Metals Inc.,Brokers & Exchanges,Financial Services,Nasdaq Global Select
AMRN,7/12/22,Amarin Corporation plc,Biotechnology,Healthcare,NASDAQ Global Market
AMRS,7/12/22,Amyris Inc.,Chemicals,Basic Materials,Nasdaq Global Select
AMRX,7/12/22,Amneal Pharmaceuticals Inc. Class A,Drug Manufacturers,Healthcare,New York Stock Exchange
AMS,7/12/22,American Shared Hospital Services,Health Care Providers,Healthcare,NYSE American
AMSC,7/12/22,American Superconductor Corporation,Computer Hardware,Technology,Nasdaq Global Select
AMSF,7/12/22,AMERISAFE Inc.,Insurance - Property & Casualty,Financial Services,Nasdaq Global Select
AMSWA,7/12/22,American Software Inc. Class A Common Stock,Application Software,Technology,Nasdaq Global Select
AMT,7/12/22,American Tower Corporation (REIT),Communication Services,Communication Services,New York Stock Exchange
AMTB,7/12/22,Mercantil Bank Holding Corporation,Banks,Financial Services,Nasdaq Global Select
AMTBB,7/12/22,Mercantil Bank Holding Corporation Class B Common Stock,Banks,Financial Services,Nasdaq Global Select
AMTD,7/12/22,TD Ameritrade Holding Corporation,Brokers & Exchanges,Financial Services,Nasdaq Global Select
AMTX,7/12/22,Aemetis Inc,Chemicals,Basic Materials,NASDAQ Global Market
AMWD,7/12/22,American Woodmark Corporation,Manufacturing - Apparel & Furniture,Consumer Cyclical,Nasdaq Global Select
AMX,7/12/22,America Movil S.A.B. de C.V.n Depository Receipt Series L,Communication Services,Communication Services,New York Stock Exchange
AMZN,7/12/22,Amazon.com Inc.,Retail - Apparel & Specialty,Consumer Cyclical,Nasdaq Global Select
AN,7/12/22,AutoNation Inc.,Autos,Consumer Cyclical,New York Stock Exchange
ANAB,7/12/22,AnaptysBio Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ANAT,7/12/22,American National Insurance Company,Insurance - Property & Casualty,Financial Services,Nasdaq Global Select
ANDE,7/12/22,The Andersons Inc.,Retail - Defensive,Consumer Defensive,Nasdaq Global Select
ANDX,7/12/22,Andeavor Logistics LP representing Limited Partner Interests,Oil & Gas - Midstream,Energy,New York Stock Exchange
ANET,7/12/22,Arista Networks Inc.,Computer Hardware,Technology,New York Stock Exchange
ANF,7/12/22,Abercrombie & Fitch Company,Retail - Apparel & Specialty,Consumer Cyclical,New York Stock Exchange
ANFI,7/12/22,Amira Nature Foods Ltd,Consumer Packaged Goods,Consumer Defensive,New York Stock Exchange
ANGI,7/12/22,ANGI Homeservices Inc.,Online Media,Technology,Nasdaq Global Select
ANGO,7/12/22,AngioDynamics Inc.,Medical Instruments & Equipment,Healthcare,Nasdaq Global Select
ANH,7/12/22,Anworth Mortgage Asset Corporation,REITs,Real Estate,New York Stock Exchange
ANIK,7/12/22,Anika Therapeutics Inc.,Biotechnology,Healthcare,Nasdaq Global Select
ANIP,7/12/22,ANI Pharmaceuticals Inc.,Biotechnology,Healthcare,NASDAQ Global Market
ANIX,7/12/22,Anixa Biosciences Inc.,Medical Diagnostics & Research,Healthcare,NASDAQ Capital Market
ANSS,7/12/22,ANSYS Inc.,Application Software,Technology,Nasdaq Global Select
ANTM,7/12/22,Anthem Inc.,Health Care Plans,Healthcare,New York Stock Exchange
ANY,7/12/22,Sphere 3D Corp.,Application Software,Technology,NASDAQ Capital Market
AOBC,7/12/22,American Outdoor Brands Corporation,Aerospace & Defense,Industrials,Nasdaq Global Select
AOD,7/12/22,Aberdeen Total Dynamic Dividend Fund,Asset Management,Financial Services,New York Stock Exchange
AON,7/12/22,Aon plc Class A (UK),Brokers & Exchanges,Financial Services,New York Stock Exchange
AOS,7/12/22,A.O. Smith Corporation,Industrial Products,Industrials,New York Stock Exchange
AOSL,7/12/22,Alpha and Omega Semiconductor Limited,Semiconductors,Technology,Nasdaq Global Select
AP,7/12/22,Ampco-Pittsburgh Corporation,Industrial Products,Industrials,New York Stock Exchange
APA,7/12/22,Apache Corporation,Oil & Gas - E&P,Energy,New York Stock Exchange
APAM,7/12/22,Artisan Partners Asset Management Inc. Class A,Asset Management,Financial Services,New York Stock Exchange
